| Time  | Date       | Doctor Name          | Specialization  | Appointment History | Vacation/Leave Info | Location         | Patient Load |
| 13:30 | 30/12/2024 | Dr. Zara Patel        | Dermatology       | Moderate             | None                | Surat             | 20           |
| 15:45 | 04/01/2025 | Dr. Kabir Malhotra    | Pediatrics        | Low                  | None                | Kanpur            | 24           |
| 09:30 | 09/01/2025 | Dr. Anvi Joshi        | Gynecology        | High                 | None                | Allahabad         | 19           |
| 11:15 | 14/01/2025 | Dr. Risha Kapoor      | Cardiology        | Moderate             | None                | Jabalpur          | 30           |
| 14:00 | 19/01/2025 | Dr. Avisha Joshi      | Orthopedics       | Low                  | None                | Amritsar          | 16           |
| 16:30 | 24/01/2025 | Dr. Advait Patel      | Dermatology       | High                 | None                | Ludhiana          | 21           |
| 08:45 | 29/01/2025 | Dr. Aria Singh        | Pediatrics        | Low                  | 29 Jan - 05 Feb 2025 | Varanasi          | 22           |
| 12:30 | 03/02/2025 | Dr. Aarav Desai       | Gynecology        | High                 | None                | Surat             | 17           |
| 15:00 | 08/02/2025 | Dr. Aanya Kapoor      | Cardiology        | Moderate             | None                | Kanpur            | 23           |
| 09:15 | 13/02/2025 | Dr. Aarav Joshi       | Orthopedics       | High               | None                | Allahabad         | 25           |
| 11:45 | 18/02/2025 | Dr. Zara Patel        | Dermatology       | Low                  | None                | Jabalpur          | 18           |
| 14:15 | 23/02/2025 | Dr. Kabir Malhotra    | Pediatrics        | High                 | None                | Amritsar          | 20           |


